# rmse: 0.00035 eV/at,    mae: 0.00024 eV/at    R2: 0.99998
#  True energy           Predicted energy
-115.02606810494351918805  -115.02622532253096210297
-115.10524007577869554098  -115.10513967037674376570
-115.08732389699953557738  -115.08708841936747546697
-114.95974509076989988898  -114.95921564242674151046
-115.10232277656017174650  -115.10221693797167574758
-115.02059496690972650867  -115.02040741791496714086
-115.14121224013425148769  -115.14106114394395774525
-115.01715264745416789083  -115.01714262488600581946
-115.06879349064166717653  -115.06889587664703356040
-114.99722743835880578445  -114.99712522280823634446
-115.01664572867963443059  -115.01672259581589230493
-114.97708797235138433734  -114.97736939325611160712
-114.93994776328287343858  -114.94058272765543904370
-114.94121669608519198391  -114.94200487106279240379
-115.05426639570971758531  -115.05393582241022443213
-114.95330947520186271049  -114.95316334238876265772
-115.12827835713935087369  -115.12812459114128671445
-115.10720099265370208741  -115.10709281860474106907
-114.98762079969768024057  -114.98717860544530822153
-115.10044006952593065307  -115.10019266626935063869
-115.03269665724073433921  -115.03275527495999597249
-114.92727470878242002073  -114.92784231282068674318
-114.97164759660138599884  -114.97136553211106502204
-114.92428061041294995448  -114.92554944784238557531
-115.12185339805279227221  -115.12167950781874026234
-114.95695872220231592564  -114.95688768997511886027
-115.09629008674583872107  -115.09616391863612250290
-115.12942587035740871215  -115.12932490781388139567
-115.00971527358795754026  -115.00995645044625348419
-114.97175248766204447293  -114.97161992709968103554
-115.01069335237870916444  -115.01076516111534431275
-114.96989711640833320416  -114.97001551559776544309
-115.08279404473103113560  -115.08270959780237774339
-115.07746444112871131438  -115.07748135054970362035
-114.94264866319305440356  -114.94272955961875481989
-115.08858468173657740863  -115.08850581098496945742
-114.94341607351110212676  -114.94423680652101893429
-114.96422701853241221670  -114.96351115544990761919
-114.92377044296573274096  -114.92368687957046802239
-115.13128512806342484964  -115.13112547635689963954
-115.02658799802222233666  -115.02691541413345532874
-115.10090093355323404012  -115.10083945326508114704
-115.00204338693565375706  -115.00200206349288123420
-115.09005536247823897611  -115.08987448581049761742
-115.07249166314305455217  -115.07233033741289318641
-115.00786488201850943369  -115.00751902215102973059
-115.04494431616528515860  -115.04498112269065757118
